ceref,name_en,website_url,name_disambiguation_status,operational_status,asset_classes,style,sub_strategy,illiquid_book_likelihood,cayman_fund_signals,us_lp_signals,geographic_focus,sector_focus,family_office_type,parent_org,parent_relationship,aum_raw_string,aum_currency,aum_usd_m,linkedin_url,ir_email,emails_on_site,generic_emails_on_site,also_holds_type_1,also_holds_type_4,all_sfc_ra_types,evidence_strength,rationale,classification_source,serpapi_kg_summary,source_markdown_path,classified_at_utc,classifier_version,email_extraction_cleared,website_accuracy,deep_scrape_attempted_utc,deep_scrape_status,hunter_email,hunter_score,hunter_status,hunter_attempted_utc
AAA621,Chong Hing Bank Limited,https://www.chbank.com/,high_confidence,active,"public_credit,public_equity,multi",mixed,,medium,,,greater_china,generalist,not_applicable,Yuexiu Group,subsidiary,,,,,customerservice@chbank.com,,customerservice@chbank.com,false,false,,inferred_from_name_or_parent,"Chong Hing Bank is a Hong Kong-licensed bank under Yuexiu Group; its website shows retail banking, securities brokerage, and bond investment services, suggesting a mixed liquid-asset focus; as a bank group with likely corporate lending and some private credit exposure (though not prominently displayed on the site), illiquid_book_likelihood is set to medium; no AUM figure stated.",website,,data\firm_pages\AAA621.md,2026-05-28T06:53:05Z,v2-2026-05-27,,probable,,,,,,
AAA635,FB Securities (Hong Kong) Limited,https://www.fubonbank.com.hk,medium_confidence,active,"public_equity,public_credit,multi",mixed,"wealth management, brokerage, banking services",medium,,,greater_china,generalist,not_applicable,"Fubon Financial Holding Co., Ltd.",subsidiary,,,,,,,,true,true,"1,4",inferred_from_name_or_parent,"Firm is a Hong Kong-licensed broker/securities entity under Fubon Bank, which is part of the Fubon Financial group (Taiwan). The website is a retail/commercial banking site with securities trading services; no dedicated asset management page or AUM disclosed. Parent group Fubon Financial has a large insurance and asset management business with private investments, so illiquid_book_likelihood is medium.",website,,data\firm_pages\AAA635.md,2026-05-28T07:58:16Z,v2-2026-05-27,,probable,,,,,,
AAA662,Fubon Fund Management (Hong Kong) Limited,https://www.fubonfund.com.hk,high_confidence,active,"public_equity,public_credit",passive,ETF and retail funds,none,,,greater_china,generalist,not_applicable,"Fubon Financial Holding Co., Ltd.",subsidiary,,,,,,,,true,true,"1,4,9",inferred_from_name_or_parent,"The website focuses on retail funds, ETFs, and leveraged/inverse products, indicating a purely public market, passive ETF business with no private equity or credit offerings; parent Fubon Financial is a large diversified financial group but the HK fund management arm appears to focus on liquid listed products only.",website,,data\firm_pages\AAA662.md,2026-05-28T04:49:25Z,v2-2026-05-27,,probable,,,,,,
AAA721,Lamtex Securities Limited,https://www.lamtex.com.hk,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,true,"4,9",no_evidence,,none,,,2026-05-28T12:43:29Z,v2-2026-05-27,,not_found,,,,,,
AAA806,Chong Hing Securities Limited,https://www.chsec.com.hk,high_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,The source text contains only template/translation strings and no substantive content about the firm's business; no actual website content was scraped.,none,,data\firm_pages\AAA806.md,2026-05-28T06:51:18Z,v2-2026-05-27,,not_found,,,,,,
AAA847,Get Nice Securities Limited,https://www.getnicefg.com.hk,medium_confidence,active,public_equity,mixed,,low,,,greater_china,generalist,not_applicable,Get Nice Group,subsidiary,,,,,,,,true,true,"1,4,6,9",inferred_from_name_or_parent,"Get Nice Securities is a Hong Kong brokerage primarily engaged in securities and futures trading, with no mention of private market activities on its website. The parent group, Get Nice Holdings, is listed and mainly operates in financial services, but no evidence of an illiquid private investment book was found.",website,,data\firm_pages\AAA847.md,2026-05-28T08:10:30Z,v2-2026-05-27,,probable,,,,,,
AAA854,Great Honest Investment Company Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,,none,,,2026-05-28T15:40:02Z,v2-2026-05-27,,not_found,,,,,,
AAA865,Canadian Imperial Bank of Commerce,https://www.privatebankerinternational.com/,medium_confidence,active,"public_credit,public_equity,unknown",buy_and_hold,corporate and institutional banking,low,,,asia,generalist,not_applicable,Canadian Imperial Bank of Commerce,n_a,,,,,,,,false,false,,inferred_from_name_or_parent,"Bank branch with no mention of asset management, private equity, or credit; focus on corporate and institutional banking suggests no illiquid private positions.",conflicted_kg_vs_llm,"KG title: Canadian Imperial Bank of Commerce
KG type: Bank in Hong Kong
AI overview: CIBC (Canadian Imperial Bank of Commerce) operates in Hong Kong primarily as a corporate and institutional banking branch. It does not offer retail or personal banking services in the region. Hong Kong General Chamber of Commerce (HKGCC) Hong Kong Office Details:  Business Focus:
The Hong Kong branch focuses entirely on corporate banking, capital markets, and global markets. Its services cater specifically to corporate, government, and institutional clients in the Asia-Pacific region, offering: 

KG title: Can",data\firm_pages\AAA865.md,2026-05-28T06:53:09Z,v2-2026-05-27,,probable,,,,,,
AAA874,South China Securities Limited,https://www.sctrade.com,ambiguous,active,"public_equity,public_credit,fund_of_funds",mixed,,low,,,greater_china,generalist,not_applicable,South China Financial Holdings Limited,subsidiary,,,,,,hotline@sctrade.com,,true,false,1,one_clear_statement,"South China Securities is a subsidiary of South China Financial Holdings; the website shows a traditional retail/securities brokerage and investment banking business with public equities, bonds, funds, and some structured products, but no evidence of private equity, private credit, or real assets. Illiquid book likelihood is low as core services are brokerage and advisory, not private markets investing.",website,,data\firm_pages\AAA874.md,2026-05-28T14:10:52Z,v2-2026-05-27,,suspect,,,,,,
AAA889,MUFG Securities Asia Limited,https://www.asia.sc.mufg.jp,high_confidence,active,unknown,unknown,,medium,,,asia,generalist,not_applicable,MUFG (Mitsubishi UFJ Financial Group),subsidiary,,,,,,,,true,true,"1,2,4,6",inferred_from_name_or_parent,"MUFG Securities Asia Limited is a subsidiary of MUFG, a global financial group with significant private credit, real assets, and other illiquid investments (e.g., project finance, structured finance), so illiquid_book_likelihood is medium, but the website provides no details on asset class breakdown or AUM.",website,,data\firm_pages\AAA889.md,2026-05-28T12:59:30Z,v2-2026-05-27,,probable,,,,,,
AAB026,J.P. Morgan Securities (Far East) Limited,https://jpmorgan.com,high_confidence,active,"public_equity,public_credit,private_equity,private_credit,real_assets,multi",mixed,,medium,,,global,generalist,not_applicable,JPMorgan Chase & Co.,subsidiary,,,,,,,,true,true,"1,4,6",multiple_pages_corroborate,"J.P. Morgan Securities (Far East) Limited is a subsidiary of JPMorgan Chase & Co., a global financial services firm with a broad range of asset classes including public equities, public credit, and significant private market activities (private equity, private credit, real assets). The source text covers the firm's full-service capabilities, but no AUM or specific fund signals are provided. The illiquid book likelihood is set to medium as the parent has a mixed model with both liquid and alternative investment arms.",consensus_website_plus,,data\firm_pages\AAB026.md,2026-05-28T09:09:01Z,v2-2026-05-27,,verified,,,,,,
AAB027,J.P. Morgan Broking (Hong Kong) Limited,https://www.jpmorgan.com,high_confidence,active,"public_equity,public_credit,private_equity,private_credit,real_assets,multi",mixed,,medium,,,global,generalist,not_applicable,JPMorgan Chase,subsidiary,,,,,,,,true,true,"1,2,4,5,7",multiple_pages_corroborate,"The entity is a Hong Kong broking subsidiary of JPMorgan Chase, a global financial services firm offering a wide range of asset management, private banking, and investment banking services, which includes both liquid markets and illiquid private investments (e.g., private equity, private credit, real assets), but the scraped page is a Canada-specific site with no direct mention of the Hong Kong entity's activities, so the classification is based on the parent group's known business lines.",consensus_website_plus,,data\firm_pages\AAB027.md,2026-05-28T09:09:11Z,v2-2026-05-27,,verified,,,,,,
AAB291,MoneyMore Securities Limited,https://www.malahon.com,ambiguous,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,"The source text is empty (service unavailable), so no information about the firm could be retrieved.",none,,data\firm_pages\AAB291.md,2026-05-28T12:59:59Z,v2-2026-05-27,,not_found,,,,,,
AAB353,Chow Sang Sang Securities Limited,https://www.338.net,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,true,"1,4",no_evidence,,none,,,2026-05-28T06:52:44Z,v2-2026-05-27,,not_found,,,,,,
AAB444,Amundi Hong Kong Limited,https://www.amundi.com/hkg,medium_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,false,asia,generalist,not_applicable,Amundi / Crédit Agricole Group,subsidiary,,,,,,,,true,true,"1,4,9",multiple_pages_corroborate,"The website is an active retail site for Amundi's Hong Kong entity, part of the Amundi / Crédit Agricole Group. It prominently offers mutual funds, ETFs, and bond funds based on the fund listings and risk disclosures. The focus on public equity and credit funds with no mention of private equity, private credit, or other illiquid strategies points to a liquid public-markets orientation for this retail-facing HK entity. However, given the parent group's known large illiquid assets business (e.g., private credit, real assets via Crédit Agricole), illiquid_book_likelihood is set to medium. AUM was not explicitly stated on the page. No US LP or Cayman fund signals were found.",consensus_website_plus,,data\firm_pages\AAB444.md,2026-05-28T05:55:28Z,v2-2026-05-27,,probable,,,,,,
AAB499,Yunfeng Financial Markets Limited,https://www.yff.com,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,greater_china,"financials,tech,generalist",not_applicable,Yunfeng Financial Group,subsidiary,,,,,,,,true,true,"1,4,9",inferred_from_name_or_parent,"The site presents Yunfeng Financial Markets/Holdings as a listed financial conglomerate with licensed securities brokerage, asset management (Type 9), and insurance; Web3/digital asset initiatives suggest an active but not primarily illiquid-private-credit focus; public equity/bond brokerage and asset management are highlighted; no explicit AUM or illiquid private markets portfolio disclosed; parent group likely holds medium level of illiquid exposure via strategic investments and insurance, but no clear private equity/credit lines on site.",website,,data\firm_pages\AAB499.md,2026-05-28T14:48:31Z,v2-2026-05-27,,probable,,,,,,
AAB629,Tokai Tokyo Securities (Asia) Limited,https://www.tokaitokyo-fh.jp/,high_confidence,active,"public_equity,public_credit",unknown,,low,,,japan,generalist,not_applicable,"Tokai Tokyo Financial Holdings, Inc.",subsidiary,,,,,,,,true,true,"1,2,4",inferred_from_name_or_parent,"The firm is the Hong Kong-licensed asset management subsidiary of Tokai Tokyo Financial Holdings, a Japanese securities group. The parent is a traditional brokerage and financial services firm focused on public equities and bonds with retail and institutional services; no evidence of illiquid private asset management operations, so illiquid_book_likelihood is low. The website is a corporate IR site for the listed parent, not detailing asset management activities.",website,,data\firm_pages\AAB629.md,2026-05-28T14:30:55Z,v2-2026-05-27,,probable,,,,,,
AAB639,Daiwa Capital Markets Hong Kong Limited,https://www.hk.daiwacm.com,high_confidence,active,"public_equity,public_credit",mixed,,medium,,,asia,generalist,not_applicable,Daiwa Securities Group Inc.,subsidiary,,,,,,,,true,true,"1,2,4,6",inferred_from_name_or_parent,"Website is generic for a brokerage/investment bank; parent Daiwa Securities Group runs both liquid and illiquid businesses, including private equity and real estate, so illiquid_book_likelihood is medium.",website,,data\firm_pages\AAB639.md,2026-05-28T07:29:39Z,v2-2026-05-27,,probable,,,,,,
AAB709,Winfull Securities Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,,none,"KG title: Wellfull Securities Company Limited
KG type: Stock broker in Hong Kong",,2026-05-28T14:42:53Z,v2-2026-05-27,,not_found,,,,,,
AAB856,GigaMoney Limited,https://www.winnerintsec.com,medium_confidence,active,"public_equity,public_credit",unknown,,low,,,greater_china,generalist,not_applicable,,n_a,,,,,,,,true,false,1,guessed,"Site focuses on stock market data and trading for HK and US equities, with no mention of private assets or alternative investments, indicating a low likelihood of illiquid holdings.",website,,data\firm_pages\AAB856.md,2026-05-28T08:10:47Z,v2-2026-05-27,,probable,,,,,,
AAB893,CLSA Limited,https://www.clsa.com,medium_confidence,active,"public_equity,public_credit",mixed,,medium,,,asia,generalist,not_applicable,CITIC Securities,subsidiary,,,,,,"kai.kaufmann@clsa.com,login.enquiry@clsa.com",,true,true,"1,4,7",inferred_from_name_or_parent,"The website is the main CLSA/CITIC CLSA site, describing an active capital markets and investment group serving institutional clients. CLSA is a subsidiary of CITIC Securities. The parent group operates a large brokerage and asset management platform, but the site focuses on equity and capital market services, not private markets. 'Alternative Investment Management' is listed as a service, suggesting some illiquid exposure, but primary business appears liquid-driven, hence medium illiquid likelihood. No AUM disclosed on site.",website,,data\firm_pages\AAB893.md,2026-05-28T06:51:24Z,v2-2026-05-27,,probable,,,,,,
AAB947,Credit Agricole Securities (Asia) Limited,https://www.ca-cib.com,high_confidence,active,"public_credit,public_equity,private_credit,real_assets",mixed,corporate and investment banking with structured finance,medium,,,global,"infrastructure,real_estate,energy,aviation,shipping,generalist",not_applicable,Crédit Agricole Group,subsidiary,,,,,,,,true,true,"1,4",one_clear_statement,"Crédit Agricole Securities (Asia) is the Hong Kong subsidiary of Crédit Agricole CIB, the corporate and investment banking arm of Crédit Agricole Group. The website clearly describes structured finance, investment banking, and capital markets solutions including real estate, infrastructure, and energy financing, indicating a mixed style with a medium likelihood of illiquid holdings due to the parent group's private credit and real assets activities, though the primary focus is on public credit and equity markets.",website,,data\firm_pages\AAB947.md,2026-05-28T06:51:34Z,v2-2026-05-27,,verified,,,,,,
AAC083,OCBC Bank (Hong Kong) Limited,https://www.ocbcbank.com/,high_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,"The source text is a GoDaddy domain sales page for ocbcbank.com, offering the domain for purchase with no actual firm website content. No information about OCBC Bank (Hong Kong) Limited or its asset management activities is available.",none,"KG title: OCBC Bank (Hong Kong)
KG desc: OCBC Bank (Hong Kong) Limited, formerly Wing Hang Bank Limited and OCBC Wing Hang Bank Limited, is a licensed bank with its head office in Hong Kong. Since 15 October 2014, Wing Hang Bank has been a wholly owned subsidiary of the Oversea-Chinese Banking Corporation headquartered in Singapore.
KG ceo: Wang Ke (Dec 15, 2023–)
KG headquarters: Hong Kong
KG parent_organization: OCBC
KG subsidiaries: Banco OCBC (Macau), S.A., OCBC Bank Limited
KG founded: 1937, Guangzhou, China",data\firm_pages\AAC083.md,2026-05-28T13:26:01Z,v2-2026-05-27,,not_found,,,,,,
AAC086,Mason Securities Limited,https://www.masonsec.com,high_confidence,active,public_equity,directional_long,retail brokerage,low,,,greater_china,generalist,not_applicable,Mason Group Holdings Limited,subsidiary,,,,,,,,true,true,"1,4,9",inferred_from_name_or_parent,"Website only describes retail securities brokerage (HK, Shanghai/Shenzhen-HK Connect, US stocks), no mention of private assets or alternative investments. Parent is Mason Group Holdings, but group focus not disclosed. Illiquid book likelihood low as no evidence of PE/credit/real assets.",website,,data\firm_pages\AAC086.md,2026-05-28T12:59:47Z,v2-2026-05-27,,probable,,,,,,
AAC106,OCBC Securities Brokerage (Hong Kong) Limited,https://www.ocbc.com.hk/sb,high_confidence,active,"public_equity,public_credit",directional_long,retail brokerage,low,,,hong_kong,generalist,not_applicable,OCBC Group,subsidiary,,,,,,,,true,false,"1,2",one_clear_statement,"Website describes retail securities brokerage services in Hong Kong with no mention of any private or illiquid investment activities, indicating a pure public-markets brokerage firm under OCBC Group.",website,,data\firm_pages\AAC106.md,2026-05-28T13:25:45Z,v2-2026-05-27,,verified,,,,,,
AAC153,Everbright Securities Investment Services (HK) Limited,https://www.ebshkfg.com,high_confidence,active,"public_equity,public_credit",mixed,"retail brokerage, wealth management, MPF",low,,,greater_china,generalist,not_applicable,Everbright Securities International (now China Everbright Securities International / 光大證券國際),subsidiary,,,,,,,,true,true,"1,4,9",inferred_from_name_or_parent,"The website shows a retail brokerage and wealth management offering (stock trading, MPF, bonds, mutual funds, forex, structured products, insurance) focused on Hong Kong and Greater China investors. There is no mention of private equity, private credit, or any illiquid private investments. The parent group Everbright Securities is a Chinese state-backed securities firm. AUM is not stated in the scraped text. Illiquid book likelihood is low as the site only lists liquid public market products.",website,,data\firm_pages\AAC153.md,2026-05-28T07:43:44Z,v2-2026-05-27,,probable,,,,,,
AAC155,China Construction Bank (Asia) Corporation Limited,https://www.chinaconstructionbank.com/,high_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,The domain chinaconstructionbank.com is listed for sale and contains no firm-related content.,none,,data\firm_pages\AAC155.md,2026-05-29T09:52:03Z,v2-2026-05-27,,not_found,2026-05-29T04:20:19+00:00,,,,,
AAC198,Merrill Lynch (Asia Pacific) Limited,https://www.bankofamerica.com/,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Bank of America,subsidiary,,,,,,,,true,true,"1,4,5,6",multiple_pages_corroborate,"Merrill Lynch (Asia Pacific) Limited is a subsidiary of Bank of America; the source text is a generic login/help page for Merrill Lynch wealth management clients, providing no specific investment strategy or asset class detail. Parent group Bank of America/Merrill Lynch runs large public equities and fixed income businesses as well as a material illiquid alternative book (private equity, real assets, private credit), so likelihood is medium.",consensus_website_plus,,data\firm_pages\AAC198.md,2026-05-29T06:52:18Z,v2-2026-05-27,,verified,2026-05-29T04:20:19+00:00,,,,,
AAC212,DBS Bank Ltd.,https://www.dbs.com.hk/,medium_confidence,active,multi,mixed,,medium,,,asia,generalist,not_applicable,DBS Group,n_a,,,,,,,,false,false,,multiple_pages_corroborate,"DBS Bank Ltd. is the Hong Kong entity of DBS Group, a major Singapore-based banking group. The site promotes retail banking, wealth management, and corporate banking, with no direct mention of asset management or AUM; as a universal bank, DBS Group likely has mixed asset management operations including both liquid and illiquid investments, hence illiquid_book_likelihood set to medium based on parent-group posture.",consensus_website_plus,"KG title: DBS Bank (Hong Kong) Limited
KG desc: DBS Bank (Hong Kong) Limited is a licensed bank incorporated in Hong Kong and is a subsidiary of DBS Bank headquartered in Singapore. As at 31 December 2024, it is the ninth-largest bank in Hong Kong by highest total assets.
KG ceo: Juan Eugenio Sebastian Paredes Muirragui (Sep 13, 2010–)
KG headquarters: Hong Kong
KG founded: July 21, 2003",data\firm_pages\AAC212.md,2026-05-28T07:30:47Z,v2-2026-05-27,,probable,,,,,,
AAC230,Wocom Securities Limited,https://www.wocom.com.hk,high_confidence,active,public_equity,directional_long,,low,,,hong_kong,generalist,not_applicable,Wing On Group,subsidiary,,,,,,,,true,false,1,one_clear_statement,"Wocom Securities is a retail stockbroker and investment services firm, subsidiary of Wing On Group. Website describes stock trading and personalized investment solutions, with no mention of private equity, private credit, or any illiquid asset classes. Evidence of public equity focus is clear from 'Online Stock Trading', 'Internet Trading', and emphasis on client investment objectives and risk appetite for traditional securities.",website,,data\firm_pages\AAC230.md,2026-05-28T14:42:58Z,v2-2026-05-27,,verified,,,,,,
AAC257,Barclays Capital Asia Limited,https://www.barclays.com,high_confidence,active,"public_equity,public_credit,private_equity,private_credit,real_assets",mixed,,medium,,,global,generalist,not_applicable,Barclays Group,subsidiary,,,,,,,,true,true,"1,2,4,6",inferred_from_name_or_parent,"Barclays Capital Asia Limited is a subsidiary of Barclays Group, a global diversified bank and investment bank. The parent group's website describes a full-service investment bank with public markets (equity, credit) and private/illiquid activities via its investment bank (e.g., corporate lending, project finance for infrastructure/energy transition, and a 'Barclays Climate Ventures' initiative). As a global universal bank, Barclays Group has a mixed style (directional, passive, buy-and-hold across divisions) and a medium illiquid book likelihood due to its private credit, real asset financing, and venture capital activities, though not a primary private markets specialist. The HK entity is a licensed asset manager but the site reflects the parent group's full business. No specific AUM, email, or LinkedIn found.",website,,data\firm_pages\AAC257.md,2026-05-28T15:33:37Z,v2-2026-05-27,,probable,,,,,,
AAC298,BOCI Securities Limited,https://www.bocionline.com,high_confidence,active,"public_equity,public_credit",mixed,,low,,,greater_china,generalist,not_applicable,BOC International Holdings,subsidiary,,,,,,,,true,true,"1,2,4,5",inferred_from_name_or_parent,"BOCI Securities is a Hong Kong brokerage subsidiary of BOC International (Bank of China group); the website only advertises securities, futures, funds, bonds, and structured products retail trading, no illiquid private markets offerings, so illiquid_book_likelihood is low; asset classes are limited to public equity and credit.",website,,data\firm_pages\AAC298.md,2026-05-28T06:32:29Z,v2-2026-05-27,,probable,,,,,,
AAC352,Merrill Lynch Far East Limited,https://www.bankofamerica.com/,high_confidence,active,"private_equity,private_credit,real_assets,public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Bank of America Merrill Lynch,subsidiary,,,,,,,,true,false,"1,2",inferred_from_name_or_parent,"Merrill Lynch is a well-known global wealth and asset management brand, part of Bank of America, which manages a diversified portfolio including liquid and illiquid assets; as a Type 9 SFC licensee it likely provides asset management services for the group, but no webpage was available so classification is based on known parent profile.",llm_on_name,,data\firm_pages\AAC352.md,2026-05-29T06:52:29Z,v2-2026-05-27,,probable,2026-05-29T04:20:19+00:00,,,,,
AAC381,FE Securities Limited,https://unlockvaluechinamerchants.com/,medium_confidence,active,"private_equity,public_equity",directional_long,event-driven activist investing,medium,,,greater_china,generalist,not_applicable,Argyle Street Management,subsidiary,,,,,,,,true,true,"1,4",inferred_from_name_or_parent,"Website is operated by Argyle Street Management (ASM), an activist fund manager; FE Securities is presumably a HK SFC-licensed entity under ASM; focus is on closed-end fund activist campaigns in China/HK with portfolio containing private tech investments, suggesting some illiquid exposure.",website,,data\firm_pages\AAC381.md,2026-05-28T07:58:19Z,v2-2026-05-27,,probable,,,,,,
AAC483,Everbright Securities Digital Finance (HK) Limited ,https://www.ebshkdirect.com,high_confidence,active,"public_equity,public_credit",directional_long,retail brokerage and wealth management,low,,,greater_china,generalist,not_applicable,Everbright Securities International (a subsidiary of China Everbright Group),subsidiary,,,,,,,,true,false,1,one_clear_statement,"The website is for Everbright Securities Digital Finance (HK) Limited, a retail brokerage under Everbright Securities International; it promotes stock, options, margin trading, and wealth management services but shows no evidence of private equity, private credit, or illiquid assets, so illiquid_book_likelihood is low.",website,,data\firm_pages\AAC483.md,2026-05-28T07:44:07Z,v2-2026-05-27,,verified,,,,,,
